1, minecraft:stronghold_town, HEADING, header:ignore, 0, 0, 0
2, minecraft:stronghold_town, MONSTER, minecraft:spider, 80, 4, 4
3, minecraft:stronghold_town, MONSTER, minecraft:zombie, 80, 4, 16
4, minecraft:stronghold_town, MONSTER, minecraft:zombie_villager, 5, 1, 1
5, minecraft:stronghold_town, MONSTER, minecraft:skeleton, 80, 4, 4
6, minecraft:stronghold_town, MONSTER, minecraft:creeper, 80, 4, 4
7, minecraft:stronghold_town, MONSTER, minecraft:slime, 80, 4, 4
8, minecraft:stronghold_town, MONSTER, minecraft:enderman, 80, 1, 4
9, minecraft:stronghold_town, MONSTER, minecraft:endermite, 80, 1, 16
10, minecraft:stronghold_town, MONSTER, minecraft:drowned, 80, 4, 4
11, minecraft:stronghold_town, MONSTER, minecraft:witch, 5, 1, 1
12, soulsweapons:cathedral_of_resurrection, HEADING, header:ignore, 0, 0, 0
13, soulsweapons:cathedral_of_resurrection, MONSTER, soulsweapons:dark_sorcerer, 80, 1, 4
14, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
15, hopo:acacia_mineshaft, HEADING, header:ignore, 0, 0, 0
16, awesomedungeon:the_ztower, HEADING, header:ignore, 0, 0, 0
17, minecraft:nether_keep, HEADING, header:ignore, 0, 0, 0
18, minecraft:nether_keep, MONSTER, minecraft:blaze, 10, 6, 16
19, minecraft:nether_keep, MONSTER, minecraft:wither_skeleton, 8, 15, 32
20, minecraft:nether_keep, MONSTER, minecraft:skeleton, 20, 15, 26
21, minecraft:nether_keep, MONSTER, minecraft:magma_cube, 30, 4, 4
22, awesomedungeonnether:nth_center_square, HEADING, header:ignore, 0, 0, 0
23, hopo:underwater_fossils, HEADING, header:ignore, 0, 0, 0
24, nova_structures:ruin_town, HEADING, header:ignore, 0, 0, 0
25, nova_structures:ruin_town, MONSTER, minecraft:zombie, 5, 1, 16
26, nova_structures:stray_fort, HEADING, header:ignore, 0, 0, 0
27, nova_structures:stray_fort, MONSTER, minecraft:stray, 5, 1, 32
28, explorify:guide_post_cold, HEADING, header:ignore, 0, 0, 0
29, awesomedungeonocean:ocean_the_column_temple, HEADING, header:ignore, 0, 0, 0
30, nova_structures:tavern_dark_oak, HEADING, header:ignore, 0, 0, 0
31, nova_structures:illager_hideout, HEADING, header:ignore, 0, 0, 0
32, survivalexpansion:crimtree1, HEADING, header:ignore, 0, 0, 0
33, ethrium:end_dungeon, HEADING, header:ignore, 0, 0, 0
34, ethrium:rustic_church, HEADING, header:ignore, 0, 0, 0
35, awesomedungeonend:end_palace, HEADING, header:ignore, 0, 0, 0
36, forgero:small_forging_house_plains, HEADING, header:ignore, 0, 0, 0
37, nova_structures:undead_crypt, HEADING, header:ignore, 0, 0, 0
38, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
39, red:statue, HEADING, header:ignore, 0, 0, 0
40, ethrium:nether_dungeon, HEADING, header:ignore, 0, 0, 0
41, awesomedungeon:desert_temple_husk, HEADING, header:ignore, 0, 0, 0
42, survivalexpansion:ghasttree3, HEADING, header:ignore, 0, 0, 0
43, explorify:mausoleum, HEADING, header:ignore, 0, 0, 0
44, awesomedungeon:the_usine, HEADING, header:ignore, 0, 0, 0
45, hopo:portal_nether, HEADING, header:ignore, 0, 0, 0
46, survivalexpansion:ghasttree1, HEADING, header:ignore, 0, 0, 0
47, nova_structures:firewatch_tower_birch, HEADING, header:ignore, 0, 0, 0
48, awesomedungeonnether:nth_accum_quad, HEADING, header:ignore, 0, 0, 0
49, hopo:portal_corruption, HEADING, header:ignore, 0, 0, 0
50, red:forest_deforestation, HEADING, header:ignore, 0, 0, 0
51, nova_structures:tavern_desert, HEADING, header:ignore, 0, 0, 0
52, awesomedungeonocean:ocean_ruin_vanilla_temple, HEADING, header:ignore, 0, 0, 0
53, hopo:oak_mineshaft, HEADING, header:ignore, 0, 0, 0
54, hopo:birch_mineshaft, HEADING, header:ignore, 0, 0, 0
55, minecraft:ruined_portal_ocean, HEADING, header:ignore, 0, 0, 0
56, awesomedungeonocean:ocean_ruin_pillager, HEADING, header:ignore, 0, 0, 0
57, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
58, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
59, nova_structures:firewatch_tower_jungle, HEADING, header:ignore, 0, 0, 0
60, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
61, minecraft:stronghold, MONSTER, minecraft:spider, 80, 4, 4
62, minecraft:stronghold, MONSTER, minecraft:zombie, 80, 4, 16
63, minecraft:stronghold, MONSTER, minecraft:zombie_villager, 5, 1, 1
64, minecraft:stronghold, MONSTER, minecraft:skeleton, 80, 4, 4
65, minecraft:stronghold, MONSTER, minecraft:creeper, 80, 4, 4
66, minecraft:stronghold, MONSTER, minecraft:slime, 80, 4, 4
67, minecraft:stronghold, MONSTER, minecraft:enderman, 80, 1, 4
68, minecraft:stronghold, MONSTER, minecraft:endermite, 80, 1, 16
69, minecraft:stronghold, MONSTER, minecraft:drowned, 80, 4, 4
70, minecraft:stronghold, MONSTER, minecraft:witch, 5, 1, 1
71, ethrium:stone_dungeon, HEADING, header:ignore, 0, 0, 0
72, hopo:portal_lush, HEADING, header:ignore, 0, 0, 0
73, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
74, awesomedungeon:better_default_jungle_temple, HEADING, header:ignore, 0, 0, 0
75, nova_structures:tavern_spruce, HEADING, header:ignore, 0, 0, 0
76, hopo:stone_mineshaft, HEADING, header:ignore, 0, 0, 0
77, awesomedungeonnether:nth_obsi_house, HEADING, header:ignore, 0, 0, 0
78, awesomedungeonocean:frigate_medium, HEADING, header:ignore, 0, 0, 0
79, red:birch_deforestation, HEADING, header:ignore, 0, 0, 0
80, awesomedungeon:abandoned_oak_palace, HEADING, header:ignore, 0, 0, 0
81, nova_structures:firewatch_tower_savanna, HEADING, header:ignore, 0, 0, 0
82, explorify:desert_shrine, HEADING, header:ignore, 0, 0, 0
83, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
84, minecraft:monument, HEADING, header:ignore, 0, 0, 0
85, minecraft:monument, MONSTER, minecraft:guardian, 5, 2, 4
86, nova_structures:illager_camp, HEADING, header:ignore, 0, 0, 0
87, survivalexpansion:mushtree2, HEADING, header:ignore, 0, 0, 0
88, hopo:jungle_mineshaft, HEADING, header:ignore, 0, 0, 0
89, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
90, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 5, 1, 1
91, awesomedungeonnether:nth_giant_crimson_tree, HEADING, header:ignore, 0, 0, 0
92, nova_structures:mangrove_witch_hut, HEADING, header:ignore, 0, 0, 0
93, nova_structures:mangrove_witch_hut, MONSTER, minecraft:witch, 5, 1, 1
94, nova_structures:mangrove_witch_hut, CREATURE, minecraft:cat, 5, 1, 1
95, forgero:medium_forging_house_savanna, HEADING, header:ignore, 0, 0, 0
96, hopo:dark_oak_mineshaft, HEADING, header:ignore, 0, 0, 0
97, nova_structures:badlands_miner_outpost, HEADING, header:ignore, 0, 0, 0
98, nova_structures:badlands_miner_outpost, MONSTER, minecraft:pillager, 5, 1, 16
99, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
100, ethrium:catacombs, HEADING, header:ignore, 0, 0, 0
101, ethrium:catacombs, MONSTER, minecraft:skeleton, 15, 1, 2
102, ethrium:catacombs, MONSTER, minecraft:stray, 5, 1, 1
103, ethrium:livilium_ruins, HEADING, header:ignore, 0, 0, 0
104, explorify:watchtower_savanna, HEADING, header:ignore, 0, 0, 0
105, nova_structures:well_savana, HEADING, header:ignore, 0, 0, 0
106, ethrium:magical_spire, HEADING, header:ignore, 0, 0, 0
107, nova_structures:firewatch_tower_mangrove, HEADING, header:ignore, 0, 0, 0
108, red:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
109, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
110, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
111, red:swamp_pillager, HEADING, header:ignore, 0, 0, 0
112, hopo:underwater_small_ruins, HEADING, header:ignore, 0, 0, 0
113, survivalexpansion:mushtree3, HEADING, header:ignore, 0, 0, 0
114, awesomedungeonocean:brigantine, HEADING, header:ignore, 0, 0, 0
115, awesomedungeonocean:ocean_cage, HEADING, header:ignore, 0, 0, 0
116, awesomedungeon:swamp_big_temple, HEADING, header:ignore, 0, 0, 0
117, ethrium:cave_dungeon, HEADING, header:ignore, 0, 0, 0
118, awesomedungeonnether:nth_blaze_tower, HEADING, header:ignore, 0, 0, 0
119, ethrium:ice_dungeon, HEADING, header:ignore, 0, 0, 0
120, minecraft:village_desert, HEADING, header:ignore, 0, 0, 0
121, minecraft:illager_manor, HEADING, header:ignore, 0, 0, 0
122, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
123, hopo:spruce_mineshaft, HEADING, header:ignore, 0, 0, 0
124, red:flower_oracle, HEADING, header:ignore, 0, 0, 0
125, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
126, nova_structures:tavern_mangrove, HEADING, header:ignore, 0, 0, 0
127, nova_structures:well_jungle, HEADING, header:ignore, 0, 0, 0
